id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,feridos,ilesos,ignorados,veiculos,latitude,longitude,regional,delegacia,uop
758003,13/03/2026,sexta-feira,08:40:00,MA,135.0,2,SAO LUIS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,3.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,"-2,59551","-44,245393",SPRF-MA,DEL01-MA,UOP01-DEL01-MA
758008,13/03/2026,sexta-feira,05:40:00,RO,364.0,"510,4",ARIQUEMES,Ingestão de álcool pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,4.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,"-9,964058","-63,048119",SPRF-RO,DEL03-RO,UOP01-DEL03-RO
758011,13/03/2026,sexta-feira,04:58:00,PA,163.0,631,TRAIRAO,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,4.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,"-4,6628773","-55,9611864",SPRF-PA,DEL05/PA,UOP03-DEL05-PA
758012,13/03/2026,sexta-feira,09:10:00,PE,407.0,"129,9",PETROLINA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,5.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,"-9,4074608","-40,50493654",SPRF-PE,DEL06/PE,UOP01-DEL06-PE
758015,13/03/2026,sexta-feira,09:30:00,MG,381.0,"907,8",CAMBUI,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Declive;Curva,Não,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"-22,67606499","-46,0980749",SPRF-MG,DEL16/MG,UOP03-DEL16-MG
758017,13/03/2026,sexta-feira,08:10:00,RN,406.0,"101,1",JOAO CAMARA,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,"-5,52233","-35,822335",SPRF-RN,DEL02-RN,UOP01-DEL02-RN
758018,13/03/2026,sexta-feira,09:30:00,PA,316.0,68,CASTANHAL,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,"-1,29400684","-47,87908351",SPRF-PA,DEL01/PA,UOP01-DEL01-PA
758026,13/03/2026,sexta-feira,10:08:00,PE,104.0,38,CARUARU,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Aclive;Curva,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,"-8,071004","-36,046151",SPRF-PE,DEL02/PE,UOP01-DEL02-PE
758027,13/03/2026,sexta-feira,10:30:00,PR,277.0,335,GUARAPUAVA,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta;Aclive,Sim,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,"-25,3555","-51,36162",SPRF-PR,DEL08/PR,UOP01-DEL08-PR
758028,13/03/2026,sexta-feira,09:00:00,MG,40.0,615,CONGONHAS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva;Declive,Não,4.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,"-20,53306789","-43,82278919",SPRF-MG,DEL05/MG,UOP02-DEL05-MG
758033,13/03/2026,sexta-feira,06:50:00,BA,116.0,893,CANDIDO SALES,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,"-15,378379","-41,196861",SPRF-BA,DEL08/BA,UOP03-DEL08-BA
758034,08/01/2026,quinta-feira,04:56:00,RJ,101.0,288,ITABORAI,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Amanhecer,Crescente,Céu Claro,Dupla,Reta,Não,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,"-22,76295049","-42,85004781",SPRF-RJ,DEL02/RJ,UOP02-DEL02-RJ
758035,13/03/2026,sexta-feira,09:20:00,SP,116.0,"113,9",TAUBATE,Frear bruscamente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nevoeiro/Neblina,Dupla,Reta,Sim,5.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,"-23,04565253","-45,58728159",SPRF-SP,DEL02/SP,UOP02-DEL02-SP
758043,13/03/2026,sexta-feira,11:50:00,SE,101.0,"10,9",MALHADA DOS BOIS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,"-10,3878487","-36,9160109",SPRF-SE,DEL02-SE,UOP02-DEL02-SE
758047,13/03/2026,sexta-feira,06:40:00,MA,226.0,2,TIMON,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,"-5,134251","-42,827373",SPRF-MA,DEL03-MA,UOP02-DEL03-MA
758050,13/03/2026,sexta-feira,11:40:00,BA,324.0,520,FEIRA DE SANTANA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,5.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,"-12,2872255","-38,9151021",SPRF-BA,DEL11/BA,UOP02-DEL11-BA
758053,13/03/2026,sexta-feira,12:40:00,RJ,101.0,482,ANGRA DOS REIS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Reta,Sim,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,"-22,98460961","-44,2967248",SPRF-RJ,DEL03/RJ,UOP03-DEL03-RJ
758054,13/03/2026,sexta-feira,12:15:00,MG,365.0,611,UBERLANDIA,Ausência de reação do condutor,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Em Obras,Sim,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,"-18,91222415","-48,21990609",SPRF-MG,DEL15/MG,UOP01-DEL15-MG
758060,13/03/2026,sexta-feira,14:20:00,MG,40.0,"433,9",PARAOPEBA,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Declive;Reta,Não,4.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,"-19,3457784","-44,5371359",SPRF-MG,DEL02/MG,UOP01-DEL02-MG
758061,13/03/2026,sexta-feira,11:00:00,MG,381.0,881,ESTIVA,Carga excessiva e/ou mal acondicionada,Colisão com objeto,Com Vítimas Fatais,Pleno dia,Crescente,Chuva,Dupla,Declive;Curva,Sim,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,"-22,469213","-46,010841",SPRF-MG,DEL16/MG,UOP01-DEL16-MG
758062,24/02/2026,terça-feira,14:45:00,SC,282.0,"45,8",AGUAS MORNAS,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Aclive;Curva,Não,4.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,"-27,72123747","-48,92456532",SPRF-SC,DEL01/SC,UOP03-DEL01-SC
758066,13/03/2026,sexta-feira,14:50:00,PR,277.0,139,CAMPO LARGO,Manobra de mudança de faixa,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ignorado,Múltipla,Reta,Sim,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,"-25,46483","-49,65226",SPRF-PR,DEL01/PR,UOP07-DEL01-PR
758067,13/03/2026,sexta-feira,15:30:00,MG,116.0,"764,1",LEOPOLDINA,Pista Escorregadia,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Chuva,Simples,Declive;Curva,Sim,4.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,"-21,51957695","-42,6446557",SPRF-MG,DEL07/MG,UOP01-DEL07-MG
758069,13/03/2026,sexta-feira,14:30:00,MT,364.0,506,ROSARIO OESTE,Reação tardia ou ineficiente do condutor,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Ponte;Reta,Não,4.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,"-15,13682073","-56,52233005",SPRF-MT,DEL01/MT,UOP01-DEL01-MT
758076,13/03/2026,sexta-feira,15:45:00,ES,101.0,363,ANCHIETA,Acumulo de água sobre o pavimento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,4.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,"-20,7114899","-40,7220353",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
758077,13/03/2026,sexta-feira,15:40:00,GO,153.0,133,MARA ROSA,Chuva,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Declive,Não,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,"-13,92694658","-49,07110834",SPRF-GO,DEL07/GO,UOP01-DEL07-GO
758080,13/03/2026,sexta-feira,16:01:00,GO,153.0,296,RIALMA,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Interseção de Vias;Curva,Não,6.0,0.0,1.0,2.0,3.0,2.0,0.0,6.0,"-15,27544207","-49,55157207",SPRF-GO,DEL02/GO,UOP02-DEL02-GO
758082,13/03/2026,sexta-feira,14:00:00,SC,101.0,"208,1",SAO JOSE,Demais falhas mecânicas ou elétricas,Eventos atípicos,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Declive,Sim,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,"-27,60432507","-48,63275019",SPRF-SC,DEL01/SC,UOP01-DEL01-SC
758092,09/03/2026,segunda-feira,12:00:00,RJ,116.0,97,TERESOPOLIS,Demais falhas mecânicas ou elétricas,Colisão frontal,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,"-22,45436945","-42,95558338",SPRF-RJ,DEL04/RJ,UOP01-DEL04-RJ
758104,04/03/2026,quarta-feira,15:50:00,SC,153.0,56,IRANI,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,4.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,"-26,953615","-51,831761",SPRF-SC,DEL07/SC,UOP07-DEL07-SC
758107,13/03/2026,sexta-feira,15:40:00,SC,282.0,586,PINHALZINHO,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"-26,8324284","-53,0352894",SPRF-SC,DEL07/SC,UOP02-DEL07-SC
758112,13/03/2026,sexta-feira,15:00:00,SC,282.0,412,CATANDUVAS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva;Aclive,Não,5.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,"-27,05787","-51,682831",SPRF-SC,DEL07/SC,UOP05-DEL07-SC
758122,13/03/2026,sexta-feira,18:30:00,PR,116.0,3,QUATRO BARRAS,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,Sim,6.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,"-25,36602477","-49,0414989",SPRF-PR,DEL01/PR,UOP02-DEL01-PR
